document,top_terms
Cultura.html,"de(0.198), desin(0.176), artificial(0.176), posar(0.176), hitchcock(0.176), sistema(0.142), ia(0.142), bekmambetov(0.088), agent(0.088), alfred(0.088), agitat(0.088), confrontació(0.088)"
Economia.html,"gener(0.356), de(0.351), sector(0.267), xifra(0.267), desembre(0.178), atur(0.178), interanual(0.178), lleuger(0.178), respecte(0.178), repunt(0.178), baix(0.178), construcció(0.178)"
Esports.html,"girona(0.259), alex(0.214), contratemps(0.214), esperar(0.214), esquerre(0.214), lateral(0.214), important(0.214), club(0.214), moreno(0.214), oficial(0.214), setmana(0.214), poder(0.173)"
Salut.html,"trasplantament(0.435), cara(0.281), donar(0.261), de(0.229), operació(0.203), hospital(0.174), vall(0.174), hebron(0.174), donant(0.145), ara(0.145), món(0.117), parlar(0.116)"
Tecnologia.html,"ia(0.262), de(0.256), factoria(0.195), bsc(0.195), marenostrum(0.195), nou(0.174), capacitat(0.157), telefónica(0.130), especialitzat(0.130), accés(0.130), rendiment(0.130), supercomputació(0.130)"
