document,top_terms
Cultura.html,"de(4), desin(2), artificial(2), sistema(2), posar(2), ia(2), hitchcock(2), acusat(1), agent(1), alfred(1), agitat(1), banda(1)"
Economia.html,"de(7), gener(4), sector(3), xifra(3), mes(3), any(2), interanual(2), lleuger(2), respecte(2), repunt(2), desembre(2), construcció(2)"
Esports.html,"girona(3), alex(2), contratemps(2), esperar(2), el(2), club(2), important(2), esquerre(2), moreno(2), setmana(2), poder(2), oficial(2)"
Salut.html,"trasplantament(15), de(14), cara(12), donar(9), operació(7), hebron(6), hospital(6), vall(6), ara(5), donant(5), món(5), parlar(4)"
Tecnologia.html,"de(7), ia(5), nou(4), capacitat(3), factoria(3), marenostrum(3), bsc(3), rendiment(2), model(2), accés(2), públic(2), supercomputació(2)"
